x,y,showSelected,PANEL,group
0.954545454545454,0.954545454545454,Bex1,1,8974
0.0454545454545455,0.937565660676933,Ctsz,1,1019
0.12207662542617,0.90889761213426,Col1a2,1,3186
0.122942035902196,0.876215304638337,Sim2,1,1678
0.182447476192846,0.87521820278571,Fgf7,1,2825
0.833175086049575,0.87521820278571,Phgdh,1,4573
0.149996465578288,0.87521820278571,Ppbp,1,1288
0.822089550116218,0.865181254893127,Tnnt2,1,1395
0.80916527834303,0.86368035687551,Lhx2,1,1207
0.170147270359837,0.849754952381581,Dnm3os,1,4835
0.824014450556368,0.848303388758389,Aqp5,1,1439
0.802121740541657,0.848303388758389,Tenm3,1,5533
0.142808204710359,0.840668853253248,Tgfbi,1,101
0.165992965455106,0.835329177799805,Zic1,1,3349
0.200927064175478,0.818624322074261,Osmr,1,1376
0.173191264917246,0.818276775340069,C1qtnf3,1,2975
0.227903694746427,0.818006942783643,Fam198b,1,513
0.196482267450737,0.817891304184397,Sash1,1,6389
0.177736656721487,0.811712948924988,Pdgfra,1,2667
0.1907165590376,0.801927567272534,Ereg,1,1676
0.189455251502338,0.797707549708319,Lox,1,212
0.134430370428309,0.795204502087952,Sdpr,1,501
0.210556167398578,0.79470908547897,Trim25,1,1855
0.233413000732399,0.792988175811189,Medag,1,4686
0.257059745948277,0.792988175811189,Bgn,1,334
0.741440739041306,0.791878264197247,Bmper,1,5566
0.251084272743585,0.791878264197247,Thbs2,1,2957
0.765026207005015,0.789079816351624,Lrp2,1,4770
0.257821842558871,0.7867005274597,Ddr2,1,3032
0.734953715806561,0.78298198863353,Ptgs1,1,3321
0.203706290810545,0.782049056090176,Cdh11,1,9301
0.248534051538979,0.781143607847303,Meg3,1,4614
0.244407771043089,0.780423165071916,Dcn,1,8369
0.238743703396349,0.774085320095632,Cxcr7,1,908
0.264131935570629,0.771945729896253,Cxcl1,1,1589
0.258297839234423,0.770131153201404,Igfbp4,1,2711
0.257353583966357,0.763403167186564,Dlk1,1,8495
0.265362709048496,0.763050066061887,Rnase4,1,2973
0.277113092711018,0.758826652850875,Ly6a,1,697
0.736805209026537,0.758717150103561,Cadm1,1,795
0.278420410469752,0.752361187414544,Mgp,1,8938
0.705272102370238,0.740985714663406,Prkar1b,1,493
0.277766019609557,0.732545370887029,Glipr1,1,3948
0.717509776126801,0.732129349463316,Sorbs2,1,6165
0.24262592057046,0.72808162928914,Eva1b,1,9847
0.282962665213301,0.727897169238965,Stat6,1,2595
0.275134443964358,0.727897169238965,Acpl2,1,5607
0.30503188717624,0.719606427107785,Tnfaip2,1,274
0.69350185065667,0.718759999702432,Slc22a23,1,9611
0.285744401496922,0.718445819478266,Tgfbr3,1,4205
0.305326352606458,0.718010265897834,Col1a1,1,3441
0.294455391624383,0.709082932474723,AW551984,1,6734
0.688418348375191,0.708090775625497,Tspan7,1,848
0.713974308727763,0.707275501025358,Klhl30,1,9577
0.684822021998743,0.707275501025358,Pax6,1,1611
0.706960886709027,0.707214337880326,Ms4a4d,1,1507
0.721781825376144,0.707137806331956,Pdpn,1,1630
0.299696792627322,0.707085295399329,Mmp2,1,219
0.703580390108137,0.703102970360713,Olfm1,1,4269
0.278619927529715,0.697447355800859,Maf,1,7438
0.678847803618328,0.696319151899449,Tubb2b,1,9575
0.245154391487607,0.692666305747472,S1pr3,1,7751
0.296575626376908,0.692416296457339,Arsj,1,10094
0.314446624585437,0.690483217538197,Emb,1,93
0.701134110181101,0.689495920262659,Pdzrn3,1,533
0.229946339531189,0.688855385427938,Hoxa9,1,2546
0.318996826549405,0.688855385427938,Tuba4a,1,794
0.321789228839375,0.684816095007082,Plagl1,1,4388
0.700069182645111,0.683159499330816,Epb4.1l4a,1,9091
0.6860274898537,0.683159499330816,Cxadr,1,4843
0.687783198153903,0.681576126462689,Atp6v0e2,1,8901
0.749236962271198,0.67844025944223,Megf10,1,5763
0.331014696920201,0.673950979213373,Bag3,1,2899
0.334477593648581,0.672288628276106,Ly6e,1,8150
0.696292370710226,0.672213867521418,Id4,1,3257
0.329003631879731,0.669731475560051,Ltbr,1,353
0.669659143716279,0.669731475560051,Mgst1,1,111
0.295239865934574,0.667604449591263,Lrrc17,1,5709
0.65836990797537,0.667128403842377,Id1,1,4306
0.319459647570054,0.662797999944148,Scarf2,1,7143
0.674895734559492,0.662602594018237,Sox2,1,586
0.331627887716651,0.662469962339618,Cth,1,4409
0.289666563910501,0.660223652137056,Il13ra1,1,4209
0.300066129239371,0.659143239206729,Pawr,1,4675
0.306319755158687,0.658382616174516,Igfbp5,1,2854
0.313713388933203,0.657709911917944,Bicc1,1,3353
0.251557341495826,0.656486202588366,Aspn,1,445
0.664959199388649,0.656085534568323,Lhx1,1,2686
0.660389965923155,0.655846797067263,Fhl1,1,1021
0.343299426587133,0.653662969392647,Ctgf,1,581
0.725276929260954,0.644864401047235,Pou3f3,1,2866
0.654427250098608,0.64226837576862,Sall1,1,7905
0.646248096327004,0.641287487617669,F2rl1,1,9045
0.664490940796136,0.63929057208559,Tagln,1,3364
0.336474228209872,0.634872372748276,Hoxa10,1,6241
0.652986502691807,0.633149291760308,Nr2f1,1,1142
0.682936857660681,0.632471247574682,Cldn9,1,8093
0.351374848218547,0.632416174099497,Ptx3,1,1372
0.655714908943676,0.630296528623086,Rps6ka6,1,5738
0.645255948599051,0.628126532611658,Pde8b,1,7413
0.644055290903821,0.626951042812812,Map2,1,6978
0.649527788711015,0.625449715985885,Has2,1,1377
0.334756582912723,0.623679116650123,Aebp1,1,2927
0.647187123160584,0.623470429058804,Sprr1a,1,9084
0.352434338182671,0.622690856828568,Cdkn1c,1,920
0.308377248697388,0.622489052378746,Ripk3,1,8944
0.334106793074876,0.620794723664765,Ndnf,1,9644
0.324753751192606,0.620451509494563,Mpg,1,884
0.307773887357771,0.615869897463515,Cd82,1,332
